name,bbq,color
DEN,0.11159362968330305,#002E4D
SF,0.10927384963518189,#940029
NE,0.10866338120146576,#00295B
SEA,0.10536685165939884,#030F1F
PIT,0.10524475797265562,#000000
ATL,0.10377963373173697,#000000
DET,0.1020703221173319,#006EA1
CIN,0.10158194737035903,#FF2700
HOU,0.10097147893664292,#00133F
DAL,0.1008493852498997,#002E4D
GB,0.10048310418967003,#294239
IND,0.0997505420692107,#00417E
BAL,0.09889588626200817,#2B025B
PHI,0.09865169888852174,#002F30
CHI,0.09852960520177853,#00133F
CAR,0.09828541782829207,#0097C6
MIN,0.09767494939457598,#240A67
SD,0.09718657464760311,#05173C
NYJ,0.09645401252714378,#174032
WAS,0.09645401252714378,#8C001A
TB,0.09633191884040056,#665C50
CLE,0.09608773146691411,#4C230E
OAK,0.09535516934645481,#000000
NYG,0.09535516934645481,#003155
ARI,0.09401213879227939,#B10339
STL,0.09242492086461752,#00295B
NO,0.09242492086461752,#C6A876
MIA,0.09193654611764464,#006B79
BUF,0.09083770293695566,#00133F
JAC,0.08937257869603701,#00839C
KC,0.08876211026232092,#C60024
TEN,0.08693070496117263,#002C4B
